"","Density","median","Experiment","centred_time"
"162","0.01",0.00754375334416311,"Feb3",2.96444689878877
"163","0.001",0.00676016401346592,"Feb7",-11.7138675179158
"164","0.001",0.00362525943407952,"Feb7",-11.2138675179158
"165","0.001",0.00444955882208087,"Feb7",-10.7138675179158
"166","0.001",0.00303576489427535,"Feb7",-10.2138675179158
"167","0.001",0.00280152489293982,"Feb7",-9.71386751791579
"168","0.001",0.00282935037407943,"Feb7",-9.21386751791579
"169","0.001",0.00207392553278082,"Feb7",-8.71386751791579
"170","0.001",0.00254862239338298,"Feb7",-8.21386751791579
"171","0.001",0.0030286850015357,"Feb7",-7.71386751791579
"172","0.001",0.00317147138597203,"Feb7",-7.21386751791579
"173","0.001",0.00353126647216221,"Feb7",-6.71386751791579
"174","0.001",0.00276619495511606,"Feb7",-6.21386751791579
"175","0.001",0.00364016474060199,"Feb7",-5.71386751791579
"176","0.001",0.00426368506339065,"Feb7",-5.21386751791579
"177","0.001",0.00548076769202452,"Feb7",-4.71386751791579
"178","0.001",0.00757187252913935,"Feb7",-4.21386751791579
"179","0.001",0.00879269355931107,"Feb7",-3.71386751791579
"180","0.001",0.0108761258333348,"Feb7",-3.21386751791579
"181","0.001",0.0121389190142605,"Feb7",-2.71386751791579
"182","0.001",0.0133314254780141,"Feb7",-2.21386751791579
"183","0.001",0.0180257174128713,"Feb7",-1.71386751791579
"184","0.001",0.0248250516210084,"Feb7",-1.21386751791579
"185","0.001",0.0365827148968699,"Feb7",-0.713867517915787
"186","0.001",0.0620159492591502,"Feb7",-0.213867517915787
"187","0.001",0.014864813362145,"Feb7",0.286132482084213
"188","0.001",0.0226167445267166,"Feb7",0.786132482084213
"189","0.001",0.0139679015580143,"Feb7",1.28613248208421
"190","0.001",0.0108410238392218,"Feb7",1.78613248208421
"191","0.001",0.00612530443958563,"Feb7",2.28613248208421
"192","0.001",0.00351381769292036,"Feb7",2.78613248208421
"193","0.001",0.00231291777776324,"Feb7",3.28613248208421
"194","0.001",0.00220065201145835,"Feb7",3.78613248208421
"195","0.001",0.00395130611529499,"Feb7",4.28613248208421
"196","0.001",0.00470473420452879,"Feb7",4.78613248208421
"197","0.01",0.00367038620112642,"Feb8",-8.76301271754914
"198","0.01",0.00303440621120566,"Feb8",-8.26301271754914
"199","0.01",0.003100867600891,"Feb8",-7.26301271754914
"200","0.01",0.00298336969047429,"Feb8",-6.76301271754914
"201","0.01",0.00427307455723438,"Feb8",-6.26301271754914
"202","0.01",0.00237528688845664,"Feb8",-5.76301271754914
"203","0.01",0.00369308932945398,"Feb8",-5.26301271754914
"204","0.01",0.00402914392181445,"Feb8",-4.76301271754914
"205","0.01",0.00317660382438104,"Feb8",-4.26301271754914
"206","0.01",0.00459740982217562,"Feb8",-3.76301271754914
"207","0.01",0.00365949417188097,"Feb8",-3.26301271754914
"208","0.01",0.0039100033256437,"Feb8",-2.76301271754914
"209","0.01",0.00599685305402776,"Feb8",-2.26301271754914
"210","0.01",0.00586843789509494,"Feb8",-1.76301271754914
"211","0.01",0.0100182387964732,"Feb8",-1.26301271754914
"212","0.01",0.0180088018185021,"Feb8",-0.763012717549142
"213","0.01",0.0346451733531908,"Feb8",-0.263012717549142
"214","0.01",0.0448745880603069,"Feb8",0.236987282450858
"215","0.01",0.0102817482301197,"Feb8",0.736987282450858
"216","0.01",0.0143032494042508,"Feb8",1.23698728245086
"217","0.01",0.00682007507770807,"Feb8",1.73698728245086
"218","0.01",0.00350335330557644,"Feb8",2.23698728245086
"219","0.01",0.00228770727350523,"Feb8",2.73698728245086
"220","0.01",0.00206618480310771,"Feb8",3.23698728245086
"221","0.01",0.00270173637616444,"Feb8",3.73698728245086
